League,Home,Away,INC,Date,Time,H_Score,A_Score,WIN,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards
premier-league,Arsenal,Brighton,"[""49' Goal_Home - Pepe N.(Chambers C.)"", ""60' Goal_Home - Pepe N.(Odegaard M.)""]",23.05.2021,17:00,2,0,Home,54%,46%,16,5,5,1,100,66,68,37,7,3,4,1,9,12,11,3,2,1,1,3,10,8,,
premier-league,Aston Villa,Chelsea,"[""43' Goal_Home - Traore B.(Targett M.)"", ""45' Yellow_Away - Jorginho(Podcięcie)"", ""45+2' Yellow_Away - Werner T.(Podcięcie)"", ""49' Yellow_Away - Kovacic M.(Podcięcie)"", ""52' Goal_Home - El-Ghazi A.(Penalty )"", ""60' Var_Away"", ""65' Yellow_Home - McGinn J.(Podcięcie)"", ""70' Goal_Away - Chilwell B.(Pulisic C.)"", ""74' Yellow_Home - Nakamba M.(Nadmierna ostrość)"", ""81' Yellow_Home - Martinez E.(Nadmierna ostrość)"", ""89' Red_Card_Away - Azpilicueta C.(Niesportowe zachowanie)"", ""90+5' Yellow_Away - Arrizabalaga K.(Opóźnianie gry)""]",23.05.2021,17:00,2,1,Home,29%,71%,6,23,3,7,68,133,22,91,3,11,0,5,13,12,2,9,0,2,6,1,11,12,3,4
premier-league,Fulham,Newcastle United,"[""23' Goal_Away - Willock J."", ""75' Yellow_Home - Tete K.(Podcięcie)"", ""88' Goal_Away - Schar F.(Penalty )""]",23.05.2021,17:00,0,2,Away,64%,36%,14,10,0,4,129,58,74,28,7,3,7,3,6,14,5,4,1,0,2,0,12,6,1,0
premier-league,Leeds,West Brom,"[""01' Yellow_Home - Cooper L.(Uderzenie łokciem)"", ""17' Goal_Home - Rodrigo(Raphinha)"", ""23' Yellow_Away - Gallagher C.(Podcięcie)"", ""42' Goal_Home - Phillips K."", ""79' Goal_Home - Bamford P.(Penalty )"", ""90' Goal_Away - Robson-Kanu H."", ""90+4' Yellow_Home - Phillips K.(Faul)""]",23.05.2021,17:00,3,1,Home,64%,36%,17,14,9,5,107,89,59,36,3,6,5,3,14,16,8,3,3,3,4,6,12,12,2,1
premier-league,Leicester City,Tottenham,"[""18' Goal_Home - Vardy J.(Penalty )"", ""41' Goal_Away - Kane H."", ""52' Goal_Home - Vardy J.(Penalty )"", ""58' Yellow_Away - Bergwijn S.(Podcięcie)"", ""76' Own_Away - Schmeichel K.()"", ""83' Yellow_Away - Winks H.(Nadmierna ostrość)"", ""87' Goal_Away - Bale G.(Kane H.)"", ""90+6' Goal_Away - Bale G.""]",23.05.2021,17:00,2,4,Away,47%,53%,10,11,6,4,83,115,48,59,2,2,2,5,7,11,8,7,3,1,0,4,9,8,0,2
premier-league,Liverpool,Crystal Palace,"[""36' Goal_Home - Mane S.(Firmino R.)"", ""71' Yellow_Away - Ayew J.(Nadmierna ostrość)"", ""71' Yellow_Home - Alexander-Arnold T.(Niesportowe zachowanie)"", ""74' Goal_Home - Mane S.(Salah M.)"", ""83' Yellow_Away - Riedewald J.(Podcięcie)"", ""86' Yellow_Home - Milner J.(Podcięcie)""]",23.05.2021,17:00,2,0,Home,70%,30%,19,5,5,4,132,79,84,10,10,1,4,0,9,12,14,1,2,1,4,3,10,8,2,2
premier-league,Manchester City,Everton,"[""07' Yellow_Away - Richarlison(Faul)"", ""11' Goal_Home - De Bruyne K.(Mahrez R.)"", ""14' Goal_Home - Gabriel Jesus(De Bruyne K.)"", ""22' Yellow_Away - Holgate M.(Nadmierna ostrość)"", ""35' Yellow_Home - Dias R.(Faul)"", ""36' Penalty_Missed_Away -  Sigurdsson G.()"", ""53' Goal_Home - Foden P.(Sterling R.)"", ""68' Yellow_Home - Sterling R.(Przytrzymywanie)"", ""71' Goal_Home - Aguero S.(Fernandinho)"", ""76' Goal_Home - Aguero S.(Fernandinho)""]",23.05.2021,17:00,5,0,Home,68%,32%,21,8,11,3,139,84,40,22,6,2,4,3,11,8,7,5,1,1,3,6,8,10,2,2
premier-league,Sheffield Utd,Burnley,"[""21' Yellow_Home - Baldock G.(Faul)"", ""24' Goal_Home - Mcdrick D.(Stevens E.)"", ""38' Yellow_Home - Fleck J.(Nadmierna ostrość)"", ""65' Yellow_Home - Basham C.(Przytrzymywanie)"", ""88' Yellow_Away - Dunne J.(Faul)""]",23.05.2021,17:00,1,0,Home,43%,57%,12,10,3,3,102,137,49,73,7,3,2,4,2,13,8,9,2,1,3,2,11,1,3,1
premier-league,West Ham,Southampton,"[""30' Goal_Home - Fornals P."", ""33' Goal_Home - Fornals P.(Coufal V.)"", ""48' Yellow_Away - Bednarek J.(Nadmierna ostrość)"", ""67' Yellow_Away - Diallo I.(Podcięcie)"", ""73' Yellow_Away - Salisu M.(Podcięcie)"", ""86' Goal_Home - Rice D.(Fornals P.)""]",23.05.2021,17:00,3,0,Home,37%,63%,14,17,7,5,102,97,45,38,6,8,1,4,11,10,2,3,5,2,5,4,5,9,0,3
premier-league,Wolves,Manchester United,"[""13' Goal_Away - Elanga A.(James D.)"", ""39' Goal_Home - Semedo N.(Silva F.)"", ""41' Yellow_Home - Ait Nouri R.(Podcięcie)"", ""41' Yellow_Home - Dendoncker L.(Niesportowe zachowanie)"", ""45+4' Goal_Away - Mata J.(Penalty )"", ""56' Yellow_Away - Henderson D.(Opóźnianie gry)"", ""75' Yellow_Home - Boly W.(Podcięcie)"", ""90+6' Yellow_Home - Gibbs-White M.(Faul)""]",23.05.2021,17:00,1,2,Away,57%,43%,14,9,4,4,136,93,73,34,6,5,4,0,4,14,6,2,1,1,2,3,14,3,4,1
